,PostOfficeName,Pincode,DistrictsName,City,State
29395,Gandhi Vidya Mandir,301709.0,Alwar,Alwar,Rajasthan
29396,Ganeri,332029.0,Sikar,Sikar,Rajasthan
29397,Ganeshgarh,335025.0,Ganganagar,Ganganagar,Rajasthan
29398,Ganeshpura,326503.0,Jhalawar,Jhalawar,Rajasthan
29399,Ganeshwar,332705.0,Sikar,Sikar,Rajasthan
29400,Ganga Nagar,335001.0,Ganganagar,Ganganagar,Rajasthan
29401,Gangapur Bazar,322201.0,Swaimadhopur,Swaimadhopur,Rajasthan
29402,Gangapur Bhilwara,311801.0,Bhilwara,Bhilwara,Rajasthan
29403,Gangapur New Mandi,322201.0,Swaimadhopur,Swaimadhopur,Rajasthan
29404,Gangapur R S,322201.0,Swaimadhopur,Swaimadhopur,Rajasthan
29405,Gangapur Rly Colony,322201.0,Swaimadhopur,Swaimadhopur,Rajasthan
29406,Gangashahar,334401.0,Bikaner,Bikaner,Rajasthan
29407,Gangdhar,326516.0,Jhalawar,Jhalawar,Rajasthan
29408,Gangiasar,333046.0,JhunJhunu,JhunJhunu,Rajasthan
29409,Gangrar,312901.0,Chittorgarh,Chittorgarh,Rajasthan
29410,Gangrar R S,312902.0,Chittorgarh,Chittorgarh,Rajasthan
29411,Ganguwala,335026.0,Ganganagar,Ganganagar,Rajasthan
29412,Ganj Ajmer,305001.0,Ajmer,Ajmer,Rajasthan
29413,Ganoda,327021.0,Banswara,Banswara,Rajasthan
29414,Ganwari,332724.0,Karauli,Karauli,Rajasthan
29415,Gaon Guda,313321.0,Udaipur,Udaipur,Rajasthan
29416,Garda,325224.0,Kota,Kota,Rajasthan
29417,Garh Himmatsingh,321622.0,Bharatpur,Bharatpur,Rajasthan
29418,Garh Moran,322212.0,Swaimadhopur,Swaimadhopur,Rajasthan
29419,Garhi,327022.0,Banswara,Banswara,Rajasthan
29420,Garhi Bajna,321423.0,Bharatpur,Bharatpur,Rajasthan
29421,Garhi Sawairam,301413.0,Alwar,Alwar,Rajasthan
29422,Garoda,332043.0,Sikar,Sikar,Rajasthan
29423,Garu,321641.0,Alwar,Alwar,Rajasthan
29424,Gaushala Road,332715.0,Sikar,Sikar,Rajasthan
29425,Gaushala Road Sri,335001.0,Ganganagar,Ganganagar,Rajasthan
29426,Geejgarh,303502.0,Jaipur,Jaipur,Rajasthan
29427,General Assurance,305001.0,Ajmer,Ajmer,Rajasthan
29428,Genji,314405.0,Dungarpur,Dungarpur,Rajasthan
29429,Ghanerao,306704.0,Pali,Pali,Rajasthan
29430,Ghantaghar Churu,331001.0,Churu,Churu,Rajasthan
29431,Ghantaghar Kota,324006.0,Kota,Kota,Rajasthan
29432,Ghantaghar Sujangarh,331507.0,Churu,Churu,Rajasthan
29433,Gharsana,335707.0,Ganganagar,Ganganagar,Rajasthan
29434,Ghasa,313210.0,Udaipur,Udaipur,Rajasthan
29435,Ghat Gate,302003.0,Jaipur,Jaipur,Rajasthan
29436,Ghata Balaji,321610.0,Swaimadhopur,Swaimadhopur,Rajasthan
29437,Ghatol,327023.0,Banswara,Banswara,Rajasthan
29438,Ghatoli,326039.0,Jhalawar,Jhalawar,Rajasthan
29439,Ghatri,321412.0,Bharatpur,Bharatpur,Rajasthan
29440,Ghatwa,341523.0,Nagaur,Nagaur,Rajasthan
29441,Ghazi Ka Thana,301022.0,Alwar,Alwar,Rajasthan
29442,Ghonsla,322254.0,Karauli,Karauli,Rajasthan
29443,Gilund,313207.0,Udaipur,Udaipur,Rajasthan
29444,Glo Ajmer,305001.0,Ajmer,Ajmer,Rajasthan
